# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1092
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
neng yong le 	能用了	c=1 d=1 t=1092
neng zai 	能在	c=1 d=0.946485 t=1092
ni 	你	c=1 d=0.904837 t=1092
ni bang wo 	你帮我	c=2 d=1.5574 t=1092
ni de 	你的	c=1 d=0.995012 t=1092
ni gei 	你给	c=1 d=0.946485 t=1092
ni hao 	你好	c=3 d=2.70764 t=1092
ni kan wo 	你看我	c=1 d=0.852144 t=1092
ni zui hou 	你最后	c=1 d=0.752014 t=1092
niu nan 	牛腩	c=1 d=0.970446 t=1092
niu rou bing 	牛肉饼	c=1 d=0.951229 t=1092
pao bu 	跑步	c=1 d=0.909373 t=1092
pao dao 	跑到	c=1 d=0.913931 t=1092
pei 	配	c=1 d=0.941765 t=1092
pei zhi 	配置	c=24 d=12.583 t=1092
pei zhi wan 	配置完	c=1 d=0.941765 t=1092
pei zhi wan hou 	配置完后	c=1 d=0.970446 t=1092
ping 	平	c=2 d=1.49728 t=1092
ping mu 	屏幕	c=1 d=0.882497 t=1092
qi 	期	c=1 d=0.912758 t=1092
qi dong 	启动	c=1 d=0.955997 t=1092
qi yong 	启用	c=1 d=1 t=1092
qi zhong 	其中	c=1 d=0.946485 t=1092
qiang 	强	c=1 d=0.932394 t=1092
qie huan 	切换	c=4 d=3.54865 t=1092
qie huan dao 	切换到	c=2 d=1.63846 t=1092
qu 	区	c=3 d=2.31575 t=1092
qu 	去	c=2 d=1.69818 t=1092
qu bian xie 	去编写	c=1 d=0.955997 t=1092
qu bie 	区别	c=1 d=1 t=1092
qu chong 	去重	c=2 d=1.77345 t=1092
qu dong 	驱动	c=2 d=1.66777 t=1092
qu fen 	区分	c=1 d=0.891366 t=1092
quan ping 	全屏	c=1 d=1 t=1091
quan xian 	权限	c=1 d=0.965605 t=1092
que ding 	确定	c=1 d=0.744532 t=1092
que shi 	确实	c=1 d=0.951229 t=1092
que shi bu lai 	确实不来	c=1 d=0.891366 t=1092
ran hou 	然后	c=3 d=2.04442 t=1092
rang 	让	c=3 d=2.3155 t=1092
rang wo 	让我	c=0 d=0.0913931 t=1092
rang wo de 	让我的	c=1 d=0.918512 t=1092
ren he 	任何	c=1 d=0.965605 t=1092
ru he 	如何	c=17 d=6.88453 t=1092
ruan jian 	软件	c=2 d=1.91393 t=1092
ruan jian bao 	软件包	c=1 d=0.865022 t=1092
sha yi 	杀意	c=1 d=0.882497 t=1092
sha yi si 	啥意思	c=7 d=5.49535 t=1092
shang 	上	c=3 d=2.70954 t=1092
shang bu liao wang 	上不了网	c=1 d=0.980199 t=1092
shang mian de 	上面的	c=1 d=0.918512 t=1092
she 	射	c=0 d=0.0985112 t=1092
she ding 	设定	c=1 d=0.759572 t=1092
she me yi si 	射么意思	c=1 d=0.99005 t=1092
she wei 	设为	c=1 d=0.882497 t=1092
she zhi 	设置	c=9 d=6.36859 t=1092
she zhi ma 	设置吗	c=1 d=0.955997 t=1092
shen me 	什么	c=26 d=12.1024 t=1092
shen me jiao 	什么叫	c=1 d=0.951229 t=1092
sheng cheng 	生成	c=2 d=1.7635 t=1092
sheng xiao 	生效	c=1 d=1 t=1092
shi 	是	c=10 d=5.86987 t=1092
shi bu shi 	是不是	c=1 d=0.951229 t=1092
shi gan ma de 	是干嘛的	c=1 d=0.980199 t=1092
shi gan shen me 	是干什么	c=1 d=0.995012 t=1092
shi shen me 	是什么	c=10 d=7.14275 t=1092
shi yin wei 	是因为	c=2 d=1.79893 t=1092
shi yong 	使用	c=7 d=4.55314 t=1092
shi zen me 	是怎么	c=1 d=0.856415 t=1092
shu biao 	鼠标	c=3 d=2.39922 t=1092
shu ju ku 	数据库	c=1 d=0.985112 t=1092
shu ru 	输入	c=2 d=1.91572 t=1092
shu zhe 	竖着	c=1 d=0.839457 t=1092
shu zhi 	竖直	c=1 d=0.810584 t=1092
shuang ping 	双屏	c=2 d=1.82581 t=1092
shui shui 	睡睡	c=1 d=0.771052 t=1092
shun xu 	顺序	c=1 d=0.980199 t=1092
shuo 	说	c=0 d=0.0891366 t=1092
shuo zhong wen 	说中文	c=2 d=1.70731 t=1092
si lu 	思路	c=1 d=1 t=1092
su lian 	速练	c=1 d=0.923116 t=1092
suo yi 	所以	c=5 d=3.13354 t=1092
suo you 	所有	c=3 d=2.44866 t=1092
suo you fen zhi 	所有分支	c=1 d=0.88692 t=1092
ta mei you 	他没有	c=1 d=0.980199 t=1092
ta men 	他们	c=1 d=0.970446 t=1092
tai duo luo 	太堕落	c=1 d=0.918512 t=1092
tai shi ji 	台式机	c=1 d=0.882497 t=1092
ti jiao 	提交	c=1 d=0.900325 t=1092
ti shi ma 	提示码	c=1 d=0.918512 t=1092
