# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	5607
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ai 	唉	c=8 d=2.61297 t=5607
da bu da 	大不大	c=1 d=0.680451 t=5607
da bu da 	打不打	c=1 d=0.683861 t=5607
da cha bu cha 	大差不差	c=1 d=0.937067 t=5607
da da da 	哒哒哒	c=1 d=0.66365 t=5607
da dian 	打点	c=1 d=0.965605 t=5607
da dian hua le 	打电话了	c=1 d=0.748264 t=5607
da dun 	大顿	c=2 d=1.78908 t=5607
da dun ma 	大顿吗	c=1 d=0.83527 t=5607
da dun wang 	大顿王	c=1 d=0.83527 t=5607
da jia 	大家	c=1 d=0.99005 t=5607
da jiao 	打搅	c=1 d=0.985112 t=5607
da kai 	打开	c=1 d=0.970446 t=5607
da ping mu 	大屏幕	c=1 d=0.778801 t=5607
da rao 	打扰	c=1 d=0.985112 t=5607
da sai 	大赛	c=1 d=0.980199 t=5607
da shang 	打上	c=1 d=0.927743 t=5607
da shou zi 	大手子	c=1 d=1 t=5607
da ti 	大题	c=1 d=0.955997 t=5607
da tong 	大同	c=1 d=0.375311 t=5607
da wan jia 	大玩家	c=1 d=1 t=5607
da wang 	大王	c=1 d=0.937067 t=5607
da xiao 	大小	c=5 d=3.4605 t=5607
da xue 	大学	c=7 d=3.50532 t=5607
da you xi 	打游戏	c=1 d=0.458406 t=5607
da zao 	大早	c=1 d=0.722527 t=5607
da zhu zhu 	大猪猪	c=1 d=0.895834 t=5607
dai dai 	呆呆	c=1 d=1 t=5607
dai dian nao 	带电脑	c=1 d=0.985112 t=5607
dai li 	代理	c=7 d=5.38524 t=5607
dai li ne 	代理呢	c=1 d=0.806541 t=5607
dai ma 	代码	c=24 d=9.44976 t=5607
dan 	但	c=6 d=3.27399 t=5607
dan hao xiang 	但好像	c=1 d=0.970446 t=5607
dan mei 	但没	c=1 d=0.99005 t=5607
dan que 	但却	c=1 d=0.201897 t=5607
dan shi 	但是	c=22 d=7.61001 t=5607
dan shi wo 	但是我	c=2 d=1.7635 t=5607
dan wo 	但我	c=7 d=2.62661 t=5607
dan zhe bu shi 	但这不是	c=1 d=0.895834 t=5607
dang 	当	c=1 d=0.814647 t=5607
dang gei 	当给	c=1 d=0.56836 t=5607
dang qian 	当前	c=2 d=1.87497 t=5607
dang shi 	当时	c=1 d=0.501576 t=5607
dang xia 	当下	c=6 d=2.09437 t=5607
dao 	倒	c=2 d=1.55372 t=5607
dao 	到	c=16 d=6.51248 t=5607
dao di 	到底	c=2 d=1.3481 t=5607
dao di shi 	到底是	c=1 d=0.865022 t=5607
dao ni 	到你	c=0 d=0.0810584 t=5607
dao ni le 	到你了	c=0 d=0.0878095 t=5607
dao ru 	导入	c=2 d=1.9605 t=5607
dao ru hou 	导入后	c=1 d=0.99005 t=5607
dao shu 	倒数	c=1 d=1 t=5607
dao tie qian 	倒贴钱	c=1 d=0.904837 t=5607
dao zhi 	导致	c=2 d=1.73676 t=5607
de 	的	c=191 d=22.2999 t=5607
de dao 	得到	c=1 d=0.980199 t=5607
de ge 	的歌	c=0 d=0.0798516 t=5607
de ma 	的吗	c=0 d=0.0946485 t=5607
de qian 	的钱	c=0 d=0.0612626 t=5607
de ren 	的人	c=0 d=0.108668 t=5607
de shi hou 	的时候	c=1 d=0.392586 t=5607
de yong chu 	的用处	c=1 d=0.980199 t=5607
de yuan yin shi 	的原因是	c=1 d=0.873716 t=5607
de zuo yong 	的作用	c=2 d=1.70056 t=5607
